연령대,행정구역,인구 수,1인가구 수,성별
15~19세,연희동,"1,150",52,M+F
20~24세,연희동,"3,157","1,693",M+F
25~29세,연희동,"4,443","2,660",M+F
30~34세,연희동,"3,153","1,540",M+F
35~39세,연희동,"2,181",811,M+F
40~44세,연희동,"2,346",633,M+F
45~49세,연희동,"2,075",447,M+F
50~54세,연희동,"2,646",520,M+F
55~59세,연희동,"2,287",379,M+F
60~64세,연희동,"2,181",424,M+F
65~69세,연희동,"1,889",397,M+F
총합,연희동,"16,190","5,144",M
0~69세,연희동,"14,443","4,841",M
0~4세,연희동,246,0,M
5~9세,연희동,377,0,M
10~14세,연희동,455,3,M
15~19세,연희동,570,20,M
20~24세,연희동,"1,485",760,M
25~29세,연희동,"2,348","1,471",M
30~34세,연희동,"1,570",805,M
35~39세,연희동,"1,084",415,M
40~44세,연희동,"1,122",319,M
45~49세,연희동,"1,014",235,M
50~54세,연희동,"1,222",266,M
55~59세,연희동,"1,077",203,M
60~64세,연희동,"1,007",198,M
65~69세,연희동,866,146,M
총합,연희동,"17,720","5,531",F
0~69세,연희동,"15,199","4,722",F
0~4세,연희동,246,0,F
5~9세,연희동,398,1,F
10~14세,연희동,412,3,F
15~19세,연희동,580,32,F
20~24세,연희동,"1,672",933,F
25~29세,연희동,"2,095","1,189",F
30~34세,연희동,"1,583",735,F
35~39세,연희동,"1,097",396,F
40~44세,연희동,"1,224",314,F
45~49세,연희동,"1,061",212,F
50~54세,연희동,"1,424",254,F
55~59세,연희동,"1,210",176,F
60~64세,연희동,"1,174",226,F
65~69세,연희동,"1,023",251,F
총합,홍은동,"50,626","8,842",M+F
0~69세,홍은동,"43,711","7,064",M+F
0~4세,홍은동,"1,136",1,M+F
5~9세,홍은동,"1,566",0,M+F
10~14세,홍은동,"1,691",4,M+F
15~19세,홍은동,"1,999",72,M+F
20~24세,홍은동,"3,178",606,M+F
25~29세,홍은동,"3,585",875,M+F
30~34세,홍은동,"3,653",963,M+F
35~39세,홍은동,"3,266",638,M+F
40~44세,홍은동,"3,627",602,M+F
45~49세,홍은동,"3,517",513,M+F
50~54세,홍은동,"4,487",674,M+F
55~59세,홍은동,"4,228",654,M+F
60~64세,홍은동,"4,185",731,M+F
65~69세,홍은동,"3,593",731,M+F
총합,홍은동,"24,322","4,086",M
0~69세,홍은동,"21,466","3,628",M
0~4세,홍은동,578,0,M
5~9세,홍은동,788,0,M
10~14세,홍은동,849,1,M
15~19세,홍은동,984,21,M
20~24세,홍은동,"1,574",243,M
25~29세,홍은동,"1,777",440,M
30~34세,홍은동,"1,881",539,M
35~39세,홍은동,"1,647",369,M
40~44세,홍은동,"1,873",343,M
45~49세,홍은동,"1,686",283,M
50~54세,홍은동,"2,184",393,M
55~59세,홍은동,"2,027",360,M
60~64세,홍은동,"1,985",356,M
65~69세,홍은동,"1,633",280,M
총합,홍은동,"26,304","4,756",F
0~69세,홍은동,"22,245","3,436",F
0~4세,홍은동,558,1,F
5~9세,홍은동,778,0,F
10~14세,홍은동,842,3,F
15~19세,홍은동,"1,015",51,F
20~24세,홍은동,"1,604",363,F
25~29세,홍은동,"1,808",435,F
30~34세,홍은동,"1,772",424,F
35~39세,홍은동,"1,619",269,F
40~44세,홍은동,"1,754",259,F
45~49세,홍은동,"1,831",230,F
50~54세,홍은동,"2,303",281,F
55~59세,홍은동,"2,201",294,F
60~64세,홍은동,"2,200",375,F
65~69세,홍은동,"1,960",451,F
총합,북가좌동,"48,098","7,831",M+F
0~69세,북가좌동,"41,364","6,179",M+F
0~4세,북가좌동,929,0,M+F
5~9세,북가좌동,"1,356",0,M+F
10~14세,북가좌동,"1,923",2,M+F
15~19세,북가좌동,"2,108",15,M+F
20~24세,북가좌동,"2,582",300,M+F
25~29세,북가좌동,"3,527",897,M+F
30~34세,북가좌동,"3,382",836,M+F
35~39세,북가좌동,"2,819",579,M+F
40~44세,북가좌동,"3,534",553,M+F
45~49세,북가좌동,"3,741",488,M+F
50~54세,북가좌동,"4,394",606,M+F
55~59세,북가좌동,"3,841",571,M+F
60~64세,북가좌동,"3,897",686,M+F
65~69세,북가좌동,"3,331",646,M+F
총합,북가좌동,"23,186","3,634",M
0~69세,북가좌동,"20,392","3,201",M
0~4세,북가좌동,470,0,M
5~9세,북가좌동,737,0,M
10~14세,북가좌동,986,1,M
15~19세,북가좌동,"1,084",8,M
20~24세,북가좌동,"1,268",122,M
25~29세,북가좌동,"1,741",415,M
30~34세,북가좌동,"1,731",480,M
35~39세,북가좌동,"1,410",343,M
40~44세,북가좌동,"1,746",314,M
45~49세,북가좌동,"1,823",269,M
50~54세,북가좌동,"2,158",345,M
55~59세,북가좌동,"1,847",313,M
60~64세,북가좌동,"1,796",307,M
65~69세,북가좌동,"1,595",284,M
총합,북가좌동,"24,912","4,197",F
0~69세,북가좌동,"20,972","2,978",F
0~4세,북가좌동,459,0,F
5~9세,북가좌동,619,0,F
10~14세,북가좌동,937,1,F
15~19세,북가좌동,"1,024",7,F
20~24세,북가좌동,"1,314",178,F
25~29세,북가좌동,"1,786",482,F
30~34세,북가좌동,"1,651",356,F
35~39세,북가좌동,"1,409",236,F
40~44세,북가좌동,"1,788",239,F
45~49세,북가좌동,"1,918",219,F
50~54세,북가좌동,"2,236",261,F
55~59세,북가좌동,"1,994",258,F
60~64세,북가좌동,"2,101",379,F
65~69세,북가좌동,"1,736",362,F
총합,남가좌동,"45,671","7,042",M+F
0~69세,남가좌동,"40,553","5,686",M+F
0~4세,남가좌동,"1,552",0,M+F
5~9세,남가좌동,"2,636",0,M+F
10~14세,남가좌동,"2,371",3,M+F
15~19세,남가좌동,"1,885",80,M+F
20~24세,남가좌동,"2,762",868,M+F
25~29세,남가좌동,"2,844",874,M+F
30~34세,남가좌동,"2,826",712,M+F
35~39세,남가좌동,"3,383",451,M+F
40~44세,남가좌동,"4,378",406,M+F
45~49세,남가좌동,"3,760",368,M+F
50~54세,남가좌동,"3,796",463,M+F
55~59세,남가좌동,"3,108",448,M+F
60~64세,남가좌동,"2,796",514,M+F
65~69세,남가좌동,"2,456",499,M+F
총합,남가좌동,"21,943","3,284",M
0~69세,남가좌동,"19,868","2,913",M
0~4세,남가좌동,820,0,M
5~9세,남가좌동,"1,336",0,M
10~14세,남가좌동,"1,167",1,M
15~19세,남가좌동,929,31,M
20~24세,남가좌동,"1,290",377,M
25~29세,남가좌동,"1,394",435,M
30~34세,남가좌동,"1,337",381,M
35~39세,남가좌동,"1,569",266,M
40~44세,남가좌동,"2,140",245,M
45~49세,남가좌동,"1,945",208,M
50~54세,남가좌동,"1,886",254,M
55~59세,남가좌동,"1,524",245,M
60~64세,남가좌동,"1,368",260,M
65~69세,남가좌동,"1,163",210,M
총합,남가좌동,"23,728","3,758",F
0~69세,남가좌동,"20,685","2,773",F
0~4세,남가좌동,732,0,F
5~9세,남가좌동,"1,300",0,F
10~14세,남가좌동,"1,204",2,F
15~19세,남가좌동,956,49,F
20~24세,남가좌동,"1,472",491,F
25~29세,남가좌동,"1,450",439,F
30~34세,남가좌동,"1,489",331,F
35~39세,남가좌동,"1,814",185,F
40~44세,남가좌동,"2,238",161,F
45~49세,남가좌동,"1,815",160,F
50~54세,남가좌동,"1,910",209,F
55~59세,남가좌동,"1,584",203,F
60~64세,남가좌동,"1,428",254,F
65~69세,남가좌동,"1,293",289,F
